objectid,filename,filename_new,title,creator,date,description,subject,location,latitude,longitude,source,identifier,type,format,language,rights,rightsstatement,display_template,object_location,image_small,image_thumb,image_alt_text,object_transcript
chestnut011,cryphonectria_parasitica.jpg,cryphonectria_parasitica,American Chestnut Blight Illustration,"Koenig, Nick",2022,American Chestnut Blight Illustration,Cryphonectria parasitica (species),"Lilley Cornett Woods, Skyline, Kentucky",37.090621,-82.990223,,,,image/jpeg,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact Nick Koenig at [koen2388@vandals.uidaho.edu](mailto:koen2388@vandals.uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,image,/objects/cryphonectria_parasitica.jpg,/objects/small/cryphonectria_parasitica_sm.jpg,/objects/thumbs/cryphonectria_parasitica_th.jpg,American Chestnut Blight Illustration Black and White Pen,
chestnut012,cypripedium_acuale.jpg,cypripedium_acuale,Pink Lady Slipper Illustration,"Koenig, Nick",2022,Pink Lady Slipper Illustration,Cypripedium acuale (species),"Lilley Cornett Woods, Skyline, Kentucky",37.090621,-82.990223,,,,image/jpeg,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact Nick Koenig at [koen2388@vandals.uidaho.edu](mailto:koen2388@vandals.uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,image,/objects/cypripedium_acuale.jpg,/objects/small/cypripedium_acuale_sm.jpg,/objects/thumbs/cypripedium_acuale_th.jpg,Pink Lady Slipper Illustration Black and White Pen,
chestnut013,erythronium_sp.jpg,erythronium_sp,Trout Lily Illustration,"Koenig, Nick",2022,Trout Lily Illustration,Erythronium sp (species),"Lilley Cornett Woods, Skyline, Kentucky",37.090621,-82.990223,,,,image/jpeg,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact Nick Koenig at [koen2388@vandals.uidaho.edu](mailto:koen2388@vandals.uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,image,/objects/erythronium_sp.jpg,/objects/small/erythronium_sp_sm.jpg,/objects/thumbs/erythronium_sp_th.jpg,Trout Lily Illustration Black and White Pen,
chestnut014,euonymus_americanus.jpg,euonymus_americanus,Hearts-a-Bustin Illustration,"Koenig, Nick",2022,Hearts-a-Bustin Illustration,Euonymus americanus (species),"Lilley Cornett Woods, Skyline, Kentucky",37.090621,-82.990223,,,,image/jpeg,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact Nick Koenig at [koen2388@vandals.uidaho.edu](mailto:koen2388@vandals.uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,image,/objects/euonymus_americanus.jpg,/objects/small/euonymus_americanus_sm.jpg,/objects/thumbs/euonymus_americanus_th.jpg,Hearts-a-Bustin Illustration Black and White Pen,
chestnut015,fagus_grandifolia.jpg,fagus_grandifolia,Beech Illustration,"Koenig, Nick",2022,Beech Illustration,Fagus grandifolia (species),"Lilley Cornett Woods, Skyline, Kentucky",37.090621,-82.990223,,,,image/jpeg,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact Nick Koenig at [koen2388@vandals.uidaho.edu](mailto:koen2388@vandals.uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,image,/objects/fagus_grandifolia.jpg,/objects/small/fagus_grandifolia_sm.jpg,/objects/thumbs/fagus_grandifolia_th.jpg,Beech Illustration Black and White Pen,
chestnut016,fraxinus_americana.jpg,fraxinus_americana,American Ash Illustration,"Koenig, Nick",2022,American Ash Illustration,Fraxinus americana (species),"Lilley Cornett Woods, Skyline, Kentucky",37.090621,-82.990223,,,,image/jpeg,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact Nick Koenig at [koen2388@vandals.uidaho.edu](mailto:koen2388@vandals.uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,image,/objects/fraxinus_americana.jpg,/objects/small/fraxinus_americana_sm.jpg,/objects/thumbs/fraxinus_americana_th.jpg,American Ash Illustration Black and White Pen,
chestnut017,hamamelis_virginiana.jpg,hamamelis_virginiana,American Witch Hazel Illustration,"Koenig, Nick",2022,American Witch Hazel Illustration,Hamamelis virginiana (species),"Lilley Cornett Woods, Skyline, Kentucky",37.090621,-82.990223,,,,image/jpeg,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact Nick Koenig at [koen2388@vandals.uidaho.edu](mailto:koen2388@vandals.uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,image,/objects/hamamelis_virginiana.jpg,/objects/small/hamamelis_virginiana_sm.jpg,/objects/thumbs/hamamelis_virginiana_th.jpg,American Witch Hazel Illustration Black and White Pen,
chestnut018,iris_cristata.jpg,iris_cristata,Dwarf Iris Illustration,"Koenig, Nick",2022,Dwarf Iris Illustration,Iris cristata (species),"Lilley Cornett Woods, Skyline, Kentucky",37.090621,-82.990223,,,,image/jpeg,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact Nick Koenig at [koen2388@vandals.uidaho.edu](mailto:koen2388@vandals.uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,image,/objects/iris_cristata.jpg,/objects/small/iris_cristata_sm.jpg,/objects/thumbs/iris_cristata_th.jpg,Dwarf Iris Illustration Black and White Pen,
chestnut019,kalmia_latifolia.jpg,kalmia_latifolia,Mountain Laurel Illustration,"Koenig, Nick",2022,Mountain Laurel Illustration,Kalmia latifolia (species),"Lilley Cornett Woods, Skyline, Kentucky",37.090621,-82.990223,,,,image/jpeg,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact Nick Koenig at [koen2388@vandals.uidaho.edu](mailto:koen2388@vandals.uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,image,/objects/kalmia_latifolia.jpg,/objects/small/kalmia_latifolia_sm.jpg,/objects/thumbs/kalmia_latifolia_th.jpg,Mountain Laurel Illustration Black and White Pen,
chestnut020,kindbergia_sp.jpg,kindbergia_sp,Common Feather Moss Illustration,"Koenig, Nick",2022,Common Feather Moss Illustration,Kindbergia sp (species),"Lilley Cornett Woods, Skyline, Kentucky",37.090621,-82.990223,,,,image/jpeg,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact Nick Koenig at [koen2388@vandals.uidaho.edu](mailto:koen2388@vandals.uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,image,/objects/kindbergia_sp.jpg,/objects/small/kindbergia_sp_sm.jpg,/objects/thumbs/kindbergia_sp_th.jpg,Common Feather Moss Illustration Black and White Pen,
chestnut021,leucobryum_glaucum.jpg,leucobryum_glaucum,Pincushion Moss Illustration,"Koenig, Nick",2022,Pincushion Moss Illustration,Leucobryum glaucum (species),"Lilley Cornett Woods, Skyline, Kentucky",37.090621,-82.990223,,,,image/jpeg,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact Nick Koenig at [koen2388@vandals.uidaho.edu](mailto:koen2388@vandals.uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,image,/objects/leucobryum_glaucum.jpg,/objects/small/leucobryum_glaucum_sm.jpg,/objects/thumbs/leucobryum_glaucum_th.jpg,Pincushion Moss Illustration Black and White Pen,
chestnut022,liriodendron_tulipifera.jpg,liriodendron_tulipifera,Tulip Poplar Illustration,"Koenig, Nick",2022,Tulip Poplar Illustration,Liriodendron tulipifera (species),"Lilley Cornett Woods, Skyline, Kentucky",37.090621,-82.990223,,,,image/jpeg,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact Nick Koenig at [koen2388@vandals.uidaho.edu](mailto:koen2388@vandals.uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,image,/objects/liriodendron_tulipifera.jpg,/objects/small/liriodendron_tulipifera_sm.jpg,/objects/thumbs/liriodendron_tulipifera_th.jpg,Tulip Poplar Illustration Black and White Pen,
chestnut023,magnolia_macrophylla.jpg,magnolia_macrophylla,Big Leaf Magnolia Illustration,"Koenig, Nick",2022,Big Leaf Magnolia Illustration,Magnolia macrophylla (species),"Lilley Cornett Woods, Skyline, Kentucky",37.090621,-82.990223,,,,image/jpeg,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact Nick Koenig at [koen2388@vandals.uidaho.edu](mailto:koen2388@vandals.uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,image,/objects/magnolia_macrophylla.jpg,/objects/small/magnolia_macrophylla_sm.jpg,/objects/thumbs/magnolia_macrophylla_th.jpg,Big Leaf Magnolia Illustration Black and White Pen,
chestnut024,microstegium_vimineum.jpg,microstegium_vimineum,Japanese Stiltgrass Illustration,"Koenig, Nick",2022,Japanese Stiltgrass Illustration,Microstegium vimineum (species),"Lilley Cornett Woods, Skyline, Kentucky",37.090621,-82.990223,,,,image/jpeg,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact Nick Koenig at [koen2388@vandals.uidaho.edu](mailto:koen2388@vandals.uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,image,/objects/microstegium_vimineum.jpg,/objects/small/microstegium_vimineum_sm.jpg,/objects/thumbs/microstegium_vimineum_th.jpg,Japanese Stiltgrass Illustration Black and White Pen,
chestnut025,mitchella_repens.jpg,mitchella_repens,Partridge Berry Illustration,"Koenig, Nick",2022,Partridge Berry Illustration,Mitchella repens (species),"Lilley Cornett Woods, Skyline, Kentucky",37.090621,-82.990223,,,,image/jpeg,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact Nick Koenig at [koen2388@vandals.uidaho.edu](mailto:koen2388@vandals.uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,image,/objects/mitchella_repens.jpg,/objects/small/mitchella_repens_sm.jpg,/objects/thumbs/mitchella_repens_th.jpg,Partridge Berry Illustration Black and White Pen,
chestnut026,nyssa_sylvatica.jpg,nyssa_sylvatica,Black Gum Illustration,"Koenig, Nick",2022,Black Gum Illustration,Nyssa sylvatica (species),"Lilley Cornett Woods, Skyline, Kentucky",37.090621,-82.990223,,,,image/jpeg,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact Nick Koenig at [koen2388@vandals.uidaho.edu](mailto:koen2388@vandals.uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,image,/objects/nyssa_sylvatica.jpg,/objects/small/nyssa_sylvatica_sm.jpg,/objects/thumbs/nyssa_sylvatica_th.jpg,Black Gum Illustration Black and White Pen,
chestnut027,oxydendrum_arboreum.jpg,oxydendrum_arboreum,Sourwood Illustration,"Koenig, Nick",2022,Sourwood Illustration,Oxydendrum arboreum (species),"Lilley Cornett Woods, Skyline, Kentucky",37.090621,-82.990223,,,,image/jpeg,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact Nick Koenig at [koen2388@vandals.uidaho.edu](mailto:koen2388@vandals.uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,image,/objects/oxydendrum_arboreum.jpg,/objects/small/oxydendrum_arboreum_sm.jpg,/objects/thumbs/oxydendrum_arboreum_th.jpg,Sourwood Illustration Black and White Pen,
chestnut028,parthenocissus_quinquefolia.jpg,parthenocissus_quinquefolia,Virginia Creeper Illustration,"Koenig, Nick",2022,Virginia Creeper Illustration,Parthenocissus quinquefolia (species),"Lilley Cornett Woods, Skyline, Kentucky",37.090621,-82.990223,,,,image/jpeg,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact Nick Koenig at [koen2388@vandals.uidaho.edu](mailto:koen2388@vandals.uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,image,/objects/parthenocissus_quinquefolia.jpg,/objects/small/parthenocissus_quinquefolia_sm.jpg,/objects/thumbs/parthenocissus_quinquefolia_th.jpg,Virginia Creeper Illustration Black and White Pen,
chestnut029,pinus_strobus.jpg,pinus_strobus,Eastern White Pine Illustration,"Koenig, Nick",2022,Eastern White Pine Illustration,Pinus strobus (species),"Lilley Cornett Woods, Skyline, Kentucky",37.090621,-82.990223,,,,image/jpeg,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact Nick Koenig at [koen2388@vandals.uidaho.edu](mailto:koen2388@vandals.uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,image,/objects/pinus_strobus.jpg,/objects/small/pinus_strobus_sm.jpg,/objects/thumbs/pinus_strobus_th.jpg,Eastern White Pine Illustration Black and White Pen,
chestnut030,polypodium_virginianum.jpg,polypodium_virginianum,Rock Polyploid Illustration,"Koenig, Nick",2022,Rock Polyploid Illustration,Polypodium virginianum (species),"Lilley Cornett Woods, Skyline, Kentucky",37.090621,-82.990223,,,,image/jpeg,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact Nick Koenig at [koen2388@vandals.uidaho.edu](mailto:koen2388@vandals.uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,image,/objects/polypodium_virginianum.jpg,/objects/small/polypodium_virginianum_sm.jpg,/objects/thumbs/polypodium_virginianum_th.jpg,Rock Polyploid Illustration Black and White Pen,
chestnut031,polystichum_acrostichoides.jpg,polystichum_acrostichoides,Christmas Fern Illustration,"Koenig, Nick",2022,Christmas Fern Illustration,Polystichum acrostichoides (species),"Lilley Cornett Woods, Skyline, Kentucky",37.090621,-82.990223,,,,image/jpeg,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact Nick Koenig at [koen2388@vandals.uidaho.edu](mailto:koen2388@vandals.uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,image,/objects/polystichum_acrostichoides.jpg,/objects/small/polystichum_acrostichoides_sm.jpg,/objects/thumbs/polystichum_acrostichoides_th.jpg,Christmas Fern Illustration Black and White Pen,
chestnut032,potentilla_simplex.jpg,potentilla_simplex,Common Cinquefoil Illustration,"Koenig, Nick",2022,Common Cinquefoil Illustration,Potentilla simplex (species),"Lilley Cornett Woods, Skyline, Kentucky",37.090621,-82.990223,,,,image/jpeg,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact Nick Koenig at [koen2388@vandals.uidaho.edu](mailto:koen2388@vandals.uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,image,/objects/potentilla_simplex.jpg,/objects/small/potentilla_simplex_sm.jpg,/objects/thumbs/potentilla_simplex_th.jpg,Common Cinquefoil Illustration Black and White Pen,
chestnut033,prunus_serotina.jpg,prunus_serotina,Black Cherry Illustration,"Koenig, Nick",2022,Black Cherry Illustration,Prunus serotina (species),"Lilley Cornett Woods, Skyline, Kentucky",37.090621,-82.990223,,,,image/jpeg,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact Nick Koenig at [koen2388@vandals.uidaho.edu](mailto:koen2388@vandals.uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,image,/objects/prunus_serotina.jpg,/objects/small/prunus_serotina_sm.jpg,/objects/thumbs/prunus_serotina_th.jpg,Black Cherry Illustration Black and White Pen,
chestnut034,pyrularia_pubera.jpg,pyrularia_pubera,Buffalo Nut Illustration,"Koenig, Nick",2022,Buffalo Nut Illustration,Pyrularia pubera (species),"Lilley Cornett Woods, Skyline, Kentucky",37.090621,-82.990223,,,,image/jpeg,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact Nick Koenig at [koen2388@vandals.uidaho.edu](mailto:koen2388@vandals.uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,image,/objects/pyrularia_pubera.jpg,/objects/small/pyrularia_pubera_sm.jpg,/objects/thumbs/pyrularia_pubera_th.jpg,Buffalo Nut Illustration Black and White Pen,
chestnut035,quercus_alba.jpg,quercus_alba,White Oak Illustration,"Koenig, Nick",2022,White Oak Illustration,Quercus alba (species),"Lilley Cornett Woods, Skyline, Kentucky",37.090621,-82.990223,,,,image/jpeg,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact Nick Koenig at [koen2388@vandals.uidaho.edu](mailto:koen2388@vandals.uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,image,/objects/quercus_alba.jpg,/objects/small/quercus_alba_sm.jpg,/objects/thumbs/quercus_alba_th.jpg,White Oak Illustration Black and White Pen,
chestnut036,quercus_montana.jpg,quercus_montana,Chestnut Oak Illustration,"Koenig, Nick",2022,Chestnut Oak Illustration,Quercus montana (species),"Lilley Cornett Woods, Skyline, Kentucky",37.090621,-82.990223,,,,image/jpeg,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact Nick Koenig at [koen2388@vandals.uidaho.edu](mailto:koen2388@vandals.uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,image,/objects/quercus_montana.jpg,/objects/small/quercus_montana_sm.jpg,/objects/thumbs/quercus_montana_th.jpg,Chestnut Oak Illustration Black and White Pen,
